Ref,Val,Package,PosX,PosY,Rot,Side
"R305","12K","R_0603_1608Metric",24.672500,-66.155000,180.000000,top
"R306","1K","R_0603_1608Metric",25.742500,-59.750000,90.000000,top
"R307","1K","R_0603_1608Metric",30.742500,-59.750000,90.000000,top
"R308","49R9","R_0603_1608Metric",15.710000,-48.795000,-90.000000,top
"R309","0R","R_0603_1608Metric",32.190000,-45.075000,90.000000,top
"R400","0R","R_0603_1608Metric",55.140000,-42.570000,-90.000000,top
"R401","10K","R_0603_1608Metric",54.325000,-56.630000,180.000000,top
"R402","6K8","R_0603_1608Metric",53.152500,-58.490000,0.000000,top
"R403","22K","R_0603_1608Metric",55.732500,-61.225000,-90.000000,top
"R404","12K","R_0603_1608Metric",58.232500,-61.975000,0.000000,top
"R405","49R9","R_0603_1608Metric",56.422500,-68.655000,-90.000000,top
"U100","HT7533-1","SOT-89-3",42.700000,-56.480000,0.000000,top
"U101","TLV62569DBV","SOT-23-5",49.750000,-18.230000,180.000000,top
"U200","STM32F103RCT6","LQFP-64_10x10mm_P0.5mm",33.560000,-31.840000,0.000000,top
"U201","USBLC6-2SC6","SOT-23-6",56.680000,-29.720000,180.000000,top
"U300","MCP6001-OT","SOT-23-5",35.747500,-65.542500,90.000000,top
"U301","MCP6001-OT","SOT-23-5",27.102500,-63.280000,0.000000,top
"U302","REF3033AIDBZ","SOT-23",19.950000,-55.030000,180.000000,top
"U303","ADC141S626CIMM_NOPB","SOIC-10",27.950000,-52.030000,0.000000,top
"U305","MCP6001-OT","SOT-23-5",45.752500,-63.390000,0.000000,top
"U400","DAC7563SDGSR","SOIC-10",54.662500,-51.455000,0.000000,top
"U401","MCP6001-OT","SOT-23-5",55.152500,-65.270000,180.000000,top
"Y200","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",17.650000,-27.620000,180.000000,top
